"","word","mRT","acc"
"250","agents",557.513513513514,0.973684210526316
"251","ages",527.375,1
"252","aggrieve",739.592592592593,0.72972972972973
"253","aggrieved",653.702702702703,0.925
"254","aggro",919.842105263158,0.5
"255","aghast",687,0.9
"256","agile",717.805555555556,0.9
"257","agin",409,0.0540540540540541
"258","aglow",799.454545454545,0.289473684210526
"259","ago",649.74358974359,0.975
"260","agog",850.25,0.216216216216216
"261","agree",544.894736842105,1
"262","agreed",560.432432432432,1
"263","agrees",563.342857142857,0.921052631578947
"264","aground",752.35,0.5
"265","ague",755.25,0.105263157894737
"266","agues",653.25,0.2
"267","ah",629.375,0.631578947368421
"268","aha",700,0.611111111111111
"269","ahead",598.368421052632,1
"270","ahoy",681.071428571429,0.717948717948718
"271","aid",537.358974358974,0.975
"272","aide",702.40625,0.82051282051282
"273","aided",624.631578947368,0.95
"274","aides",680.258064516129,0.775
"275","aiding",725.516129032258,0.815789473684211
"276","aids",515.351351351351,1
"277","ail",695.380952380952,0.525
"278","ailed",798.75,0.631578947368421
"279","ailing",730.153846153846,0.684210526315789
"280","ailment",731.724137931035,0.783783783783784
"281","ailments",736.911764705882,0.85
"282","ails",727.85,0.512820512820513
"283","aim",521,0.973684210526316
"284","aimed",611.384615384615,1
"285","aiming",633.25641025641,0.975
"286","aimless",714.675675675676,0.973684210526316
"287","aims",524.512820512821,0.975
"288","air",516.974358974359,1
"289","airbase",645.730769230769,0.684210526315789
"290","airbed",661.764705882353,0.85
"291","airborne",672.605263157895,0.95
"292","airbrake",704.789473684211,0.487179487179487
"293","airbrakes",834.277777777778,0.486486486486487
"294","airbus",630.677419354839,0.794871794871795
"295","aircraft",605.513513513514,1
"296","aircrew",741.703703703704,0.692307692307692
"297","aircrews",730.2,0.657894736842105
"298","airdrome",871.1,0.25
"299","airdrop",789.588235294118,0.447368421052632
"300","airdrops",812.705882352941,0.435897435897436
"301","aired",587.794871794872,0.975
"302","airedale",861.75,0.2
"303","airfield",672.885714285714,0.945945945945946
"304","airfields",681.676470588235,0.944444444444444
"305","airflow",679,0.736842105263158
"306","airforce",617.65,1
"307","airframe",633.727272727273,0.282051282051282
"308","airframes",771.818181818182,0.289473684210526
"309","airgun",704.72,0.657894736842105
"310","airguns",695.806451612903,0.775
"311","airier",769.333333333333,0.583333333333333
"312","airing",632.72972972973,0.925
"313","airless",659.71875,0.82051282051282
"314","airlift",695.84375,0.842105263157895
"315","airlifts",648.161290322581,0.794871794871795
"316","airline",545.925,1
"317","airlines",611.583333333333,0.972972972972973
"318","airlock",635.514285714286,0.875
"319","airlocks",686.333333333333,0.9
